sku,product_name,category,price_inr,width_mm,depth_mm,height_mm,installation_type,rough_in_mm,finish,collection,features,source_url,dimension_source,dimension_unit,spatial_ready,dimension_status,accessibility_rating,sustainability_rating,accessibility_basis,sustainability_basis,rating_provenance
K-16356IN-A-AF,"Complementary™ Single-function showerhead, 23.0 lpm",shower,2729.0,97,178,95.0,,,,complementary,"Versatile, contemporary design",https://www.kohler.co.in/p/showers/sf-showerhead-with-arm-escutcheon-16356in-a,additional_information,mm,True,valid,72.0,76.0,"Estimated planning score based on installation type, dimensions and spatial planning characteristics.","Estimated planning score based on available catalog features such as water-use information, product type and installation characteristics.",estimated_from_catalog
K-24547IN-CP,"Daisyfield™ Multifunction showerhead, 9.6 lpm",shower,1179.0,125,86,137.0,,,,daisyfield,,https://www.kohler.co.in/p/showers/daisyfield-multifunction-showerhead-9-6-lpm-24547in,,mm,True,valid,72.0,76.0,"Estimated planning score based on installation type, dimensions and spatial planning characteristics.","Estimated planning score based on available catalog features such as water-use information, product type and installation characteristics.",estimated_from_catalog
K-16351IN-CP,Finial Traditional 14 cm single-function showerhead (with shower arm and flange),shower,4559.0,140,258,196.0,,,,,,https://www.kohler.co.in/p/showers/finial-traditional-140mm-single-function-showerhead-with-shower-arm-and-flange-16351in,additional_information,mm,True,valid,72.0,76.0,"Estimated planning score based on installation type, dimensions and spatial planning characteristics.","Estimated planning score based on available catalog features such as water-use information, product type and installation characteristics.",estimated_from_catalog
K-22645IN-CP,"Parallel™ Square 12.7 cm single-function showerhead, 9.0 lpm",shower,3339.0,127,217,208.0,,,,parallel,,https://www.kohler.co.in/p/showers/parallel-square-127-mm-single-function-showerhead-9-0-lpm-22645in,additional_information,mm,True,valid,72.0,76.0,"Estimated planning score based on installation type, dimensions and spatial planning characteristics.","Estimated planning score based on available catalog features such as water-use information, product type and installation characteristics.",estimated_from_catalog
K-75924IN-CP,Rain Duet™ Multifunction Showerhead,shower,3319.0,127,127,76.0,,,,,The Rainduet delivers an invigorating spray for a great bathing experience. The modern look of the showerhead complements a wide variety of style lines.,https://www.kohler.co.in/p/showers/rainduet-multifunction-showerhead-75924in,additional_information,mm,True,valid,72.0,76.0,"Estimated planning score based on installation type, dimensions and spatial planning characteristics.","Estimated planning score based on available catalog features such as water-use information, product type and installation characteristics.",estimated_from_catalog
K-72438IN-AF,Rain Duet™ Round 17.8 cm single-function rainhead,shower,6949.0,225,235,110.0,,,,,Round 17.8 cm single-function rainhead,https://www.kohler.co.in/p/showers/rain-duet-round-178mm-single-function-rainhead-72438in,,mm,True,valid,72.0,76.0,"Estimated planning score based on installation type, dimensions and spatial planning characteristics.","Estimated planning score based on available catalog features such as water-use information, product type and installation characteristics.",estimated_from_catalog
K-26855IN-CP,"Rain Max Square 25.4 cm single-function rainhead, 22 lpm",shower,14549.0,254,254,132.4,,,,,,https://www.kohler.co.in/p/showers/rain-max-square-254-mm-single-function-rainhead-22-lpm-26855in,,mm,True,valid,72.0,76.0,"Estimated planning score based on installation type, dimensions and spatial planning characteristics.","Estimated planning score based on available catalog features such as water-use information, product type and installation characteristics.",estimated_from_catalog
K-26856IN-CP,"Rain Max Square 30.5 cm single-function rainhead, 22 lpm",shower,17479.0,310,310,54.0,,,,rain max,,https://www.kohler.co.in/p/showers/rain-max-square-305-mm-single-function-rainhead-22-lpm-26856in,additional_information,mm,True,valid,72.0,76.0,"Estimated planning score based on installation type, dimensions and spatial planning characteristics.","Estimated planning score based on available catalog features such as water-use information, product type and installation characteristics.",estimated_from_catalog
K-73199IN-CP,"Rainduet™ Contemporary square 20 cm single-function rainhead, 8.7 lpm",shower,4479.0,63,200,200.0,,,,rainduet,"Unique square 7.87 inch (20 cm) single-function rainhead creates a modern look | Contemporary square 20 cm single-function rainhead, 8.7 lpm | Contemporary square 20cm single function rainhead | Designed to provide an ideal flow of 9.5 liters per minute at 3 bar pressure.",https://www.kohler.co.in/p/showers/rainduet-contemporary-square-200-mm-single-function-rainhead-8-7-lpm-73199in,additional_information,mm,True,valid,72.0,76.0,"Estimated planning score based on installation type, dimensions and spatial planning characteristics.","Estimated planning score based on available catalog features such as water-use information, product type and installation characteristics.",estimated_from_catalog
K-73038IN-CL-CP,"Rainduet™ Edge Square 20.3 cm single-function rainhead, 9.5 lpm",shower,8279.0,61,203,203.0,,,,,,https://www.kohler.co.in/p/showers/rain-duet-edge-square-203-mm-single-function-rainhead-73038in-cl,additional_information,mm,True,valid,72.0,76.0,"Estimated planning score based on installation type, dimensions and spatial planning characteristics.","Estimated planning score based on available catalog features such as water-use information, product type and installation characteristics.",estimated_from_catalog
K-73040IN-CL-CP,"Rainduet™ Edge Square 25.4 cm single-function rainhead, 9.5 lpm",shower,11469.0,61,254,254.0,,,,rainduet edge,,https://www.kohler.co.in/p/showers/rainduet-edge-square-254-mm-single-function-rainhead-9-5-lpm-73040in-cl,additional_information,mm,True,valid,72.0,76.0,"Estimated planning score based on installation type, dimensions and spatial planning characteristics.","Estimated planning score based on available catalog features such as water-use information, product type and installation characteristics.",estimated_from_catalog
K-27724IN-CP,"Rainduet™ Five-function filtered showerhead, 12.0 lpm",shower,2369.0,123,138,123.0,,,,rainduet,"Versatile, contemporary design",https://www.kohler.co.in/p/showers/kohler-rain-duet-filter-shower-with-activated-charcoal-and-5-showering-modes-27724in,additional_information,mm,True,valid,72.0,76.0,"Estimated planning score based on installation type, dimensions and spatial planning characteristics.","Estimated planning score based on available catalog features such as water-use information, product type and installation characteristics.",estimated_from_catalog
K-26853IN-CP,"Rainduet™ Five-function showerhead, 14.0 lpm",shower,1269.0,99,99,98.0,,,,rainduet,"With measurements of 76 mm and 99 mm, this product is designed for the perfect fit.",https://www.kohler.co.in/p/showers/rainduet-five-function-showerhead-14-0-lpm-26853in,additional_information,mm,True,valid,72.0,76.0,"Estimated planning score based on installation type, dimensions and spatial planning characteristics.","Estimated planning score based on available catalog features such as water-use information, product type and installation characteristics.",estimated_from_catalog
K-73198IN-CP,"Rainduet™ Round 20.3 cm rainhead, 9.0 lpm",shower,4149.0,201,201,64.0,,,,,"Round 20.3 cm rainhead, 9.0 lpm | Rainduet round rainhead with katalyst air-induction technology. | Designed to provide an ideal flow of 9 liters per minute at 3 bar pressure. | The innovative design delivers the right amount of force and optimal coverage.",https://www.kohler.co.in/p/showers/203mm-round-katalyst-tm-rainhead-73198in,additional_information,mm,True,valid,72.0,82.0,"Estimated planning score based on installation type, dimensions and spatial planning characteristics.","Estimated planning score based on available catalog features such as water-use information, product type and installation characteristics.",estimated_from_catalog
K-23657IN-CP,"Rainduet™ Single-function showerhead, 17.4 lpm",shower,2519.0,122,202,160.0,,,,,,https://www.kohler.co.in/p/showers/rainduet-single-function-organic-showerhead-23657in,additional_information,mm,True,valid,72.0,76.0,"Estimated planning score based on installation type, dimensions and spatial planning characteristics.","Estimated planning score based on available catalog features such as water-use information, product type and installation characteristics.",estimated_from_catalog
K-26294IN-AF,"Statement™ Oblong 35.3 cm single-function rainhead, 9.5 lpm",shower,35559.0,353,203,95.0,,,,,,https://www.kohler.co.in/p/showers/statement-oblong-353-mm-single-function-rainhead-9-5-lpm-26294in,additional_information,mm,True,valid,72.0,76.0,"Estimated planning score based on installation type, dimensions and spatial planning characteristics.","Estimated planning score based on available catalog features such as water-use information, product type and installation characteristics.",estimated_from_catalog
K-26294T-2MB,"Statement™ Oblong 35.3 cm single-function rainhead, 9.5 lpm",shower,83500.0,354,203,95.0,,,,statement,,https://www.kohler.co.in/p/showers/statement-oblong-353-mm-single-function-rainhead-9-5-lpm-26294t,additional_information,mm,True,valid,72.0,76.0,"Estimated planning score based on installation type, dimensions and spatial planning characteristics.","Estimated planning score based on available catalog features such as water-use information, product type and installation characteristics.",estimated_from_catalog
K-26290IN-CP,"Statement™ Oblong three-function 20.2 cm showerhead, 9.5 lpm",shower,6299.0,202,140,94.0,,,,,,https://www.kohler.co.in/p/showers/statement-three-function-showerhead-9-5-lpm-26290in,additional_information,mm,True,valid,72.0,76.0,"Estimated planning score based on installation type, dimensions and spatial planning characteristics.","Estimated planning score based on available catalog features such as water-use information, product type and installation characteristics.",estimated_from_catalog
K-26290T-2MB,"Statement™ Oblong three-function showerhead, 9.5 lpm",shower,22300.0,205,140,94.0,,,,,,https://www.kohler.co.in/p/showers/statement-three-function-showerhead-9-5-lpm-26290t,additional_information,mm,True,valid,72.0,76.0,"Estimated planning score based on installation type, dimensions and spatial planning characteristics.","Estimated planning score based on available catalog features such as water-use information, product type and installation characteristics.",estimated_from_catalog
